"Data Source","World Development Indicators",

"Last Updated Date","2020-04-09",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bahrain","BHR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.0400009155273","69.1650009155273","69.1050033569336","69.2979965209961","69.4290008544922","69.6900024414063","69.8860015869141","70.088996887207","70.1119995117188","69.9089965820313","69.8619995117188","69.7509994506836","69.4369964599609","68.7089996337891","67.8040008544922","66.6210021972656","65.5329971313477","64.4300003051758","64.3259963989258","63.1990013122559","63.6619987487793","63.8190002441406","63.8120002746582","63.7179985046387","63.765998840332","63.6310005187988","63.4910011291504","63.6479988098145","63.7970008850098",
"Bahamas, The","BHS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","79.4199981689453","79.4509963989258","82.2919998168945","81.6549987792969","81.4150009155273","80.2089996337891","81.5110015869141","81.1669998168945","79.2490005493164","78.8489990234375","78.7490005493164","79.5999984741211","81.1470031738281","79.4889984130859","78.6880035400391","79.1920013427734","79.7429962158203","80.8219985961914","81.0579986572266","81.1080017089844","81.2900009155273","81.3259963989258","81.8970031738281","81.9260025024414","82.8980026245117","83.056999206543","83.1859970092773","83.3160018920898","83.6460037231445",
"Bosnia and Herzegovina","BIH","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3919982910156","37.4630012512207","37.8230018615723","38.7879981994629","39.9459991455078","41.7840003967285","42.7569999694824","43.5120010375977","44.5550003051758","45.1669998168945","46.007999420166","46.8279991149902","47.3759994506836","47.931999206543","48.4259986877441","48.6870002746582","47.5960006713867","46.9500007629395","47.2770004272461","49.4329986572266","51.4990005493164","49.0820007324219","51.0499992370605","52.9179992675781","51.8660011291504","50.7669982910156","51.4659996032715","52.140998840332","52.3530006408691",
"Belarus","BLR","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.1860008239746","51.4939994812012","51.9679985046387","52.5260009765625","53.0200004577637","53.226001739502","53.3540000915527","53.8320007324219","54.1110000610352","54.4640007019043","54.9420013427734","55.2550010681152","55.5060005187988","55.5309982299805","55.6469993591309","55.7770004272461","55.9420013427734","55.9669990539551","56.6049995422363","56.7869987487793","56.9309997558594","57.3930015563965","57.9710006713867","58.476001739502","59.234001159668","58.7449989318848","58.5349998474121","58.056999206543","58.5309982299805",
"Belize","BLZ","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.7599983215332","56.0690002441406","56.0960006713867","57.3610000610352","55.0400009155273","54.3600006103516","51.8400001525879","56.9930000305176","55.5460014343262","56.6269989013672","57.9150009155273","59.1300010681152","60.4109992980957","61.4889984130859","62.5639991760254","62.7680015563965","63.2150001525879","63.4959983825684","64.0650024414063","64.5329971313477","64.8679962158203","65.3089981079102","65.7669982910156","66.1419982910156","66.4970016479492","65.7320022583008","66.8870010375977","67.234001159668","67.4540023803711",
"Bermuda","BMU","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.4900016784668","38.7050018310547","38.9529991149902","39.2379989624023","39.556999206543","39.9339981079102","40.3610000610352","40.6800003051758","41.1399993896484","42.4420013427734","40.1040000915527","39.8600006103516","44.398998260498","44.398998260498","41.9939994812012","43.0400009155273","44.2299995422363","48.7000007629395","49.2089996337891","49.2820014953613","49.2760009765625","51.6110000610352","50.9389991760254","48.5180015563965","49.6240005493164","49.5289993286133","49.4860000610352","49.4539985656738","49.8819999694824",
"Brazil","BRA","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7299995422363","57.8079986572266","58.1860008239746","58.7770004272461","59.0960006713867","60.0499992370605","60.2589988708496","61","61.2490005493164","61.6599998474121","62.0050010681152","61.4599990844727","61.8349990844727","61.2439994812012","61.4160003662109","62.4539985656738","62.8250007629395","62.9179992675781","63.8689994812012","64.8109970092773","65.6999969482422","65.5139999389648","65.8870010375977","66.7710037231445","67.6240005493164","68.9779968261719","70.0670013427734","70.6129989624023","70.9960021972656",
"Barbados","BRB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3600006103516","74.0899963378906","75.370002746582","75.8300018310547","75.7900009155273","76.1600036621094","75.4290008544922","74.6900024414063","74.2799987792969","75.1169967651367","76.1699981689453","77.2200012207031","77.8300018310547","79.1589965820313","79.3509979248047","79.5589981079102","79.8099975585938","79.6539993286133","79.2740020751953","78.3679962158203","78.1630020141602","78.6890029907227","78.2850036621094","77.8420028686523","77.7519989013672","77.8259963989258","77.818000793457","78.0619964599609","78.3310012817383",
"Brunei Darussalam","BRN","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.8160018920898","73.890998840332","74.2610015869141","74.677001953125","74.5309982299805","74.9489974975586","75.4599990844727","75.9560012817383","76.8170013427734","77.0989990234375","77.4209976196289","77.6869964599609","77.9250030517578","78.1839981079102","78.4670028686523","78.6849975585938","79.0490036010742","79.3270034790039","79.7710037231445","80.0210037231445","80.1149978637695","80.3249969482422","80.625","80.8199996948242","81.5009994506836","82.0950012207031","82.5139999389648","82.6630020141602","82.7559967041016",
